household_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
853285;all;none;1;0;10563.744247973256;338364
131434;all;none;1;0;366.2506663085472;51858
191789;all;none;2;0;4266.393075575023;75816
814069;all;none;1;0;1144.8078018306544;322772
834889;some;none;1;0;7361.22943324843;331031
1050653;some;none;1;0;11888.64262003462;416552
867228;some;none;1;0;7159.461847945497;343871
1012684;some;none;1;0;5409.8112137602475;401560
679943;some;none;1;0;2855.7159858438504;269528
626026;all;none;1;0;16506.04655039188;248194
884357;some;none;1;0;3404.4832236818056;350640
821839;some;none;1;0;5014.9405491615435;325850
896479;some;none;1;0;5338.633683213772;355473
420327;some;none;1;0;2329.5589222512917;166577
467629;some;none;1;0;1475.0502455618598;185311
101966;all;none;1;0;2251.3719752762163;40234
173165;all;none;1;0;13304.430890891697;68438
441052;some;none;1;0;18451.362010372657;174784
501882;some;none;1;0;31155.55339764781;198924
776598;some;none;1;0;8747.525951267484;307802
886039;all;none;2;0;9901.524221166608;351322
1062137;some;none;1;0;2466.8965985771833;421128
19;none;none;0;0;2222.3056715462485;5
74953;none;none;0;0;8937.432805205257;29555
109535;none;none;0;0;3392.396118164344;43236
263860;none;none;0;0;4064.109297500063;104602
407151;none;none;0;0;4720.250310118599;161375
560271;none;none;0;0;2066.7824157093883;222059
846347;none;none;0;0;3539.522739469903;335581
852730;none;none;0;0;1362.104298615266;338138
883826;none;none;0;0;11660.493590446069;350425
899389;none;none;0;0;1028.6223831909076;356634
972773;none;none;0;0;4496.43074633867;385733
1034957;none;none;0;0;951.1811988659948;410363
1120748;none;none;0;0;2731.8952999586195;444503
2128910;none;none;0;0;3578.4485841042297;755203
2847351;none;none;0;0;3606.8999479484987;994550
3140934;none;none;0;0;3027.4165780726585;1108065
3281149;none;none;0;0;2878.87368980101;1162910
3468781;none;none;0;0;1520.7157945635415;1235596
3670905;none;none;0;0;3639.8418964336984;1314676
3861792;none;none;0;0;2869.5333226745724;1388158
3998810;none;none;0;0;2695.2204287961517;1440036
4221508;none;none;0;0;2259.11698013733;1527765
64;none;none;0;0;1097.27747395781;22
722;none;none;0;0;1817.768785299485;266
358547;none;none;0;0;2166.5507087718506;142076
770952;none;none;0;0;1512.5733623875242;305600
1052022;none;none;0;0;3561.954168165164;417097
2223548;none;none;0;0;5681.69107887837;787887
89;none;none;0;0;6433.866009014459;31
3736287;none;none;0;0;5005.603990335712;1339835
16319;none;none;0;0;3412.5106818071927;6422
349252;none;none;0;0;10066.921486026224;138421
879283;none;none;0;0;2104.80352030724;348629
941527;none;none;0;0;8976.068877934134;373341
2028437;none;none;0;0;3874.696130436225;722058
15911;none;none;0;0;1712.8854142814066;6259
235484;none;none;0;0;8972.240628221527;93237
284438;none;none;0;0;1667.8472635418725;112725
409936;none;none;0;0;3118.649958945469;162477
480426;none;none;0;0;9220.053077107723;190391
517996;none;none;0;0;1472.3730635625398;205314
554449;none;none;0;0;5196.749183193633;219735
643244;none;none;0;0;2149.436593542908;254987
951306;none;none;0;0;7625.220121850497;377266
1005848;none;none;0;0;3792.182726336897;398828
1028748;none;none;0;0;4425.720444116223;407893
5280542;none;none;0;0;1369.5111205095582;1911774
740;some;none;1;0;8250.978959497581;273
199701;all;none;1;0;3591.8607637142386;78992
945857;some;none;1;0;304.0490087269456;375063
332246;some;none;1;0;6008.374951669774;131705
750;all;none;2;0;6470.515708923905;277
412451;some;none;2;0;5079.066563444077;163456
844543;all;none;1;0;7343.778236495116;334870
1019139;some;none;1;0;2741.5803934646715;404098
1060734;some;none;1;0;8697.914263674153;420541
75263;some;none;1;0;10415.235114321977;29678
841649;all;none;1;0;2377.8293306555215;333706
3840913;all;none;2;0;776.6441544118704;1380437
191620;some;all;1;3;7589.849782187956;75742
194906;some;some;1;3;17118.193929106317;77057
733832;some;some;1;3;6202.868847272871;290858
869098;all;all;1;3;2690.2773677670566;344619
521077;all;all;1;3;3106.565583425381;206536
1039492;some;some;1;3;16573.495629669673;412158
879012;some;some;1;3;9750.205067267543;348522
1079570;all;all;1;3;3846.2991419132504;428048
672412;all;all;2;3;2395.980565098937;266509
727186;all;all;1;3;1449.5041860850408;288248
744996;some;some;1;3;2151.99252109921;295268
767545;some;some;1;3;12923.153313437337;304243
1053618;some;all;1;3;2274.0281327852094;417749
34325;some;all;1;3;1849.655844359508;13523
850349;all;all;2;3;6872.431490446547;337184
111359;some;some;1;3;4451.781799329586;43945
701160;some;some;1;3;6357.947972103777;277916
701956;some;all;1;3;9634.39410891402;278214
734639;all;all;1;3;1072.7489752421825;291182
810624;all;none;1;0;1178.9501527055397;321391
2103035;all;none;2;0;3397.874359398296;746194
2307343;some;none;2;0;2001.3473414371958;816092
2477063;all;none;2;0;3078.050179552781;866886
3158336;all;none;2;0;7648.886662671914;1114829
3499315;all;none;1;0;1376.0330123725994;1247497
4109010;some;none;1;0;6894.741245888537;1483477
4409923;all;none;2;0;9104.384266044102;1601891
4695576;some;none;1;0;3393.346479587617;1708777
4734952;all;none;1;0;2537.878675523646;1724329
4759648;some;none;1;0;4274.503654470912;1733992
134477;some;none;1;0;29917.94712640747;53078
242251;some;none;1;0;10613.115259174974;95944
225716;some;none;1;0;3870.7178614013296;89354
374381;some;none;1;0;3315.681829414094;148341
392522;some;none;1;0;6578.549486486288;155504
608841;some;none;1;0;2155.959527069357;241342
657340;some;none;1;0;9463.647487205566;260509
830950;all;none;2;0;3071.285918828122;329469
873837;some;none;1;0;1517.1341948150866;346486
536349;some;none;1;0;7575.515753504826;212586
801563;all;none;2;0;2957.8930166199348;317760
841;none;some;0;1;13494.615784492606;316
27527;none;all;0;1;188.34592140926864;10837
66705;none;some;0;1;6750.845589124026;26263
172964;none;some;0;1;6008.588490246401;68361
189746;none;some;0;1;5364.294478988854;75003
272401;none;all;0;1;5747.592322664988;107978
398816;none;all;0;1;675.7562373676614;158005
415729;none;all;0;1;1539.3678150502055;164770
430488;none;some;0;1;12769.281121381158;170591
464961;none;all;0;1;3131.748512414932;184258
477024;none;all;0;1;2205.9377492296553;189029
491102;none;some;0;1;5250.127847759466;194643
552021;none;some;0;1;2700.587741846473;218776
564339;none;some;0;1;6447.988987304732;223691
588222;none;some;0;1;13793.621457635014;233139
686768;none;all;0;1;6483.3724720124055;272204
743210;none;some;0;1;5770.937471788932;294561
768031;none;some;0;1;4243.664365973099;304437
795766;none;some;0;1;5677.969842659452;315491
843835;none;some;0;1;4370.02504788246;334588
921363;none;some;0;1;5439.291819159677;365342
969494;none;some;0;1;5046.222052865809;384433
1015823;none;some;0;1;6119.332980260831;402797
1024649;none;all;0;1;3205.795032567718;406239
1048224;none;some;0;1;1786.9647501725522;415606
1054460;none;all;0;1;2891.254626892626;418086
1116579;none;all;0;1;1961.911129215979;442852
1383069;none;some;0;1;5642.8430058979375;524076
1979120;none;some;0;1;5324.1706496882925;705243
2920231;none;some;0;1;1878.2638378483534;1022891
3344243;none;all;0;1;2579.3261567891795;1186717
4109085;none;all;0;1;1252.3303778003244;1483509
4242496;none;all;0;1;1398.0571765497014;1536226
4721447;none;some;0;1;1315.2948058806169;1719008
4945875;none;all;0;1;1789.7639731019167;1798841
2186531;none;none;0;0;1738.5071709395986;776192
2898397;none;none;0;0;1772.3318008381104;1014485
2998181;none;none;0;0;2011.4823427788021;1053097
3360205;none;none;0;0;2102.1281610784263;1192896
136809;none;none;0;0;7820.695610044217;54015
567671;none;none;0;0;3828.2822044125805;225010
629068;none;none;0;0;9794.451956935107;249402
999401;none;none;0;0;2494.1171490569222;396272
2143222;none;none;0;0;7287.68169177747;760124
3733198;none;none;0;0;669.3671341535953;1338592
3884528;none;none;0;0;2373.6431722941547;1397036
4150135;none;none;0;0;1722.7649280980427;1499608
4240302;none;none;0;0;3795.4357579725693;1535321
4808074;none;none;0;0;2381.1162811515615;1752777
5274602;none;none;0;0;1213.9019125954742;1909729
153961;none;none;0;0;1640.133787214403;60865
228508;none;none;0;0;640.0069658216752;90483
3548503;none;none;0;0;625.1394388094803;1266408
3642269;none;none;0;0;1662.476948850935;1303155
3696069;none;none;0;0;2164.88265308655;1324331
3744053;none;none;0;0;4882.017995336438;1342879
3749581;none;none;0;0;4052.8746840274594;1344993
3749623;none;none;0;0;3391.582896499048;1345012
3859421;none;none;0;0;3666.2592604833103;1387255
4121102;none;none;0;0;3967.479531852743;1488303
4126029;none;none;0;0;335.23245678943505;1490223
4166763;none;none;0;0;1308.6903923082853;1506141
1142963;none;none;0;0;2994.8664334460527;453171
1456875;none;none;0;0;3342.3900120863373;546200
1522422;none;none;0;0;3372.595956567752;561426
2709613;none;none;0;0;2927.7884777582904;943878
2798154;none;none;0;0;7618.67010814629;975448
3665718;none;none;0;0;1895.9121470887185;1312621
3726205;none;none;0;0;3367.164771813348;1335863
3735246;none;none;0;0;1905.6961870965752;1339430
4953160;none;none;0;0;2587.354367553036;1801671
5303974;none;none;0;0;1751.8021688166982;1918010
2803116;none;none;0;0;206.22868933242;977422
3546270;none;none;0;0;4524.847416102591;1265541
3653135;none;none;0;0;2574.764473156728;1307530
3760463;none;none;0;0;3061.0713502795334;1349235
3955450;none;none;0;0;2738.8088274260213;1424198
4087796;none;none;0;0;1781.5406186044838;1475082
4098184;none;none;0;0;1553.788493354568;1479208
4128256;none;none;0;0;522.4255430261725;1491093
4140815;none;none;0;0;6223.806255287435;1496001
4979372;none;none;0;0;1543.689227883358;1810848
929;some;none;1;0;6420.872404179404;350
439957;some;none;1;0;4355.258186932198;174340
564645;all;none;2;0;6377.339635116759;223810
595626;all;none;1;0;5281.545914185795;236098
818465;some;none;1;0;5485.256239445776;324497
1080647;all;none;1;0;273.6648444756669;428498
63863;all;none;2;0;3342.7715492813095;25147
224893;some;none;1;0;9009.605164055782;89030
518730;all;none;1;0;3079.839790528594;205595
625588;all;none;1;0;1329.2748654373777;248020
686208;all;none;1;0;6103.257729456133;271981
725531;all;none;1;0;3491.5742019873146;287615
778447;some;none;1;0;1615.016332280396;308564
979548;all;none;1;0;6309.6360535682725;388417
1053;none;none;0;0;2688.859612053874;400
63430;none;none;0;0;5486.276467970972;24969
69155;none;none;0;0;4772.53022124733;27237
165791;none;none;0;0;3825.4816856572047;65536
233437;none;none;0;0;2304.095612329079;92434
254919;none;none;0;0;3672.1592967844517;101040
424101;none;none;0;0;3655.1913098750542;168055
608788;none;none;0;0;11389.017074775478;241322
695714;none;none;0;0;7713.548231897748;275752
730054;none;none;0;0;3084.294179091933;289379
869596;none;none;0;0;7450.341894179817;344818
933691;none;none;0;0;4790.638443103842;370238
991200;none;none;0;0;2356.964206252619;393017
2931658;none;none;0;0;4894.963624560754;1027278
3060254;none;none;0;0;374.37978448395967;1076701
3596928;none;none;0;0;3096.4830699732347;1285403
3668288;none;none;0;0;3104.218300044643;1313649
4113902;none;none;0;0;3699.676627227962;1485422
5258267;none;none;0;0;1795.6989146688368;1905084
5287143;none;none;0;0;2832.297493219355;1913576
5315400;none;none;0;0;1421.9682435022153;1921378
5322354;none;none;0;0;1738.5723732884348;1923249
5346448;none;none;0;0;2068.8577131385223;1929710
1084;none;none;0;0;1916.1286961495834;410
64749;none;none;0;0;2742.9039002441286;25499
365274;none;none;0;0;1150.13327515007;144731
461809;none;none;0;0;1271.723656679404;182983
562753;none;none;0;0;3623.799234129049;223044
743874;none;none;0;0;4378.276779348973;294821
851000;none;none;0;0;13226.960813019094;337457
943083;none;none;0;0;1091.223465179901;373974
1008521;none;none;0;0;5949.637007413687;399916
1022713;none;none;0;0;1229.7562611786766;405489
1053582;none;none;0;0;659.0242965803064;417736
2777209;none;none;0;0;2184.0941960893188;967131
3108614;none;none;0;0;9976.800706986;1095368
5431693;none;none;0;0;712.4481953107982;1952779
159509;none;none;0;0;597.7020869514383;63061
170638;none;none;0;0;2586.9476503685096;67454
209760;none;none;0;0;6337.3779983550885;83042
313142;none;none;0;0;8802.518869470996;124170
562503;none;none;0;0;1630.6082397546697;222949
596046;none;none;0;0;7048.488229890127;236268
755739;none;none;0;0;4826.793825013987;299534
1104989;none;none;0;0;1767.2926776317054;438239
4382052;none;none;0;0;3760.1670732611396;1590859
4468643;none;none;0;0;1994.080898115521;1621636
421494;none;none;0;0;4255.294226568434;167026
428910;none;none;0;0;4533.4578131362105;169977
872326;none;none;0;0;3742.447797219983;345897
2581112;none;none;0;0;2895.4781492740562;901068
3362819;none;none;0;0;1144.2023774440004;1193903
3722328;none;none;0;0;5281.5157281444335;1334326
4247938;none;none;0;0;3812.4779571711156;1538394
4891886;none;none;0;0;204.81485177340886;1782215
1155;none;some;0;2;2096.053539433347;440
195851;none;all;0;2;4390.636051550085;77439
630431;none;all;0;2;10080.596746770338;249947
653338;none;some;0;2;6641.835763433288;258893
787906;none;all;0;2;1768.208407878633;312316
975783;none;all;0;2;2471.694640807959;386909
1081275;none;all;0;2;3055.7932191451778;428748
1120991;none;all;0;2;1160.4600156632391;444593
305481;none;some;0;2;2178.484718773551;121103
501715;none;some;0;2;3147.1275809242475;198856
1000916;none;some;0;2;11362.26738103938;396881
1125165;none;some;0;2;3544.622025378592;446268
451433;none;all;0;2;6462.900901443163;178904
553243;none;all;0;2;1574.5991525177144;219271
830878;none;all;0;2;4714.599899517332;329445
973862;none;all;0;2;5770.98499774309;386156
1755715;none;all;0;2;3448.296524785818;628291
1821499;none;some;0;2;3516.937664741856;651565
2050078;none;all;0;2;1357.1252116929722;730369
71834;none;none;0;0;2542.523653313679;28318
141759;none;none;0;0;224.1071401901654;55999
237736;none;none;0;0;1711.548819645383;94132
287504;none;none;0;0;620.3322405515993;113921
584609;none;none;0;0;10996.698002076042;231695
736795;none;none;0;0;5688.402427030081;292026
897380;none;none;0;0;3113.911487451705;355833
940939;none;none;0;0;1422.491731361014;373118
1096387;none;none;0;0;4567.344697475222;434807
4756421;none;none;0;0;8882.741970725143;1732709
5260622;none;none;0;0;5324.596501816477;1905858
5274227;none;none;0;0;1474.812859367416;1909620
5281561;none;none;0;0;2308.6547017251764;1912162
5291166;none;none;0;0;1340.376129881158;1914585
20002;none;none;0;0;2124.5208436625776;7882
146445;none;none;0;0;5046.012262398899;57868
414670;none;none;0;0;1861.25199014284;164354
475865;none;none;0;0;3285.5392244440313;188567
1031356;none;none;0;0;2639.097714462492;408923
1397733;none;none;0;0;2633.067283759622;529278
1915143;none;none;0;0;1850.2972056943818;683687
5276468;none;none;0;0;6035.57070399636;1910434
5302695;none;none;0;0;3853.6816946489153;1917608
21667;none;none;0;0;1861.2299458044154;8520
205833;none;none;0;0;4366.690299521366;81475
214847;none;none;0;0;1594.8329117286194;85043
374835;none;none;0;0;8429.919998084339;148515
612067;none;none;0;0;6882.61369326759;242661
727531;none;none;0;0;11710.113357209753;288381
729698;none;none;0;0;2105.541537327276;289234
845847;none;none;0;0;2556.7680127547055;335389
929159;none;none;0;0;1622.2368585190966;368408
941058;none;none;0;0;4896.368315033789;373159
2112382;none;none;0;0;4549.637684710113;749499
2175138;none;none;0;0;1479.5975686878442;772022
3526498;none;none;0;0;4199.4314134612805;1257954
4182343;none;none;0;0;1979.5029490351399;1512239
5343647;none;none;0;0;1398.7460555151404;1928825
41228;none;none;0;0;1474.9384089068164;16242
171211;none;none;0;0;4362.928297109306;67684
292343;none;none;0;0;15379.012536472226;115832
325744;none;none;0;0;4037.477787562608;129111
517058;none;none;0;0;4283.0508824721455;204965
539428;none;none;0;0;2860.794446127472;213821
689321;none;none;0;0;1811.0507509891052;273215
728718;none;none;0;0;5059.597191995183;288855
774576;none;none;0;0;1109.96518650431;307002
1080883;none;none;0;0;1501.212474372848;428594
2583700;none;none;0;0;7696.31294290003;902076
2814898;none;none;0;0;1699.4808726244787;982052
3262233;none;none;0;0;1789.0463860581726;1155610
3945608;none;none;0;0;1801.1008283256476;1420290
4966604;none;none;0;0;2077.4151837119675;1806945
5391810;none;none;0;0;712.5075098055587;1940714
5402541;none;none;0;0;486.05369401463753;1944052
1567;all;none;1;0;2863.4100505507754;606
2319853;all;none;1;0;2524.536853274278;819119
2455923;all;none;1;0;642.051888917849;861283
1590;none;all;0;4;1351.3859441470413;615
526830;none;some;0;4;1960.9617511589113;208826
2317280;none;all;0;4;3073.8121896584184;818427
2320738;none;all;0;4;105.44513158095154;819437
2453775;none;all;0;4;2018.8783077518544;860760
2481502;none;all;0;4;2145.4956776085182;868154
2510685;none;all;0;4;1266.451926131872;878708
2564771;none;some;0;4;6694.848342938579;894974
2632090;none;all;0;4;5552.931146038535;916806
2773140;none;all;0;4;1050.0140209897966;965544
2777347;none;all;0;4;1857.0327093757692;967186
2310423;none;some;0;4;8672.947169191832;816818
2339256;none;all;0;4;9207.45728939049;826106
2393116;none;all;0;4;2338.193353067281;844836
2495552;none;all;0;4;6483.934493233676;872824
2496307;none;some;0;4;5855.044773207964;873112
2504283;none;all;0;4;2659.775283508519;876242
2511208;none;all;0;4;1892.5951132967343;878917
2596472;none;all;0;4;6836.926283802885;907115
2620727;none;some;0;4;4937.99052420207;913069
2665360;none;some;0;4;5866.461484685431;928418
3244948;none;all;0;4;17980.334882516836;1148834
3439840;none;all;0;4;3063.934755839102;1224332
5236150;none;all;0;4;521.3183786764766;1896689
5362853;none;all;0;4;1048.857581581435;1933719
5373785;none;all;0;4;1926.7503762002957;1936169
5384299;none;all;0;4;1448.3007422473854;1938936
2359209;none;all;0;4;4090.6433432613676;832977
2395304;none;all;0;4;2058.966806780856;845639
2449676;none;all;0;4;2120.023550032295;859750
2383903;none;some;0;4;3190.333992620678;841580
2484212;none;all;0;4;2106.5188766539923;868884
2725830;none;all;0;4;3320.5437241889686;949774
2764570;none;all;0;4;3838.8943903381214;962234
2791713;none;all;0;4;6070.622186379713;972908
1734;none;all;0;1;5206.083095619591;669
111754;none;some;0;1;5701.516887506421;44105
181058;none;some;0;1;1912.6539371652289;71522
217035;none;all;0;1;3894.542804474;85912
283386;none;all;0;1;5883.592726910116;112309
515661;none;all;0;1;1390.9369226807867;204408
4434432;none;all;0;1;1906.4650579503598;1610995
4607719;none;some;0;1;3541.391643151796;1674678
4720357;none;some;0;1;8802.065343369439;1718584
1893;all;none;1;0;3898.0547218327406;727
265145;all;none;1;0;2187.1461990650655;105113
999439;all;none;1;0;11179.946897702903;396287
1001505;all;none;1;0;2172.602944362503;397104
44225;some;all;1;2;1063.4516248406737;17419
271651;all;some;3;2;21029.266427645987;107671
499002;some;all;1;2;585.0523389519514;197789
116332;all;all;2;2;5821.347581742785;45918
340466;some;some;1;2;4813.829555671863;134962
607397;all;all;2;2;4662.551878714491;240789
631458;all;all;1;2;1268.12621810974;250341
693219;some;all;1;2;9807.596227802458;274771
821132;some;all;1;2;5309.139665581615;325548
1101261;all;some;1;2;9027.07377663088;436767
1136175;some;all;1;2;4149.509672272971;450616
1477548;all;all;2;2;3169.034120731223;550735
4118846;all;some;3;2;2066.4574579454898;1487378
4895350;all;some;3;2;3289.805326845516;1783572
5073182;all;all;2;2;2512.6489804621406;1841841
1898;none;none;0;0;1814.1781291298212;729
73663;none;none;0;0;4107.0215180074065;29044
238783;none;none;0;0;3382.6604066074706;94554
242575;none;none;0;0;3476.317129483393;96077
541038;none;none;0;0;2078.2031822583835;214460
561497;none;none;0;0;2111.4431796059557;222546
571834;none;none;0;0;2167.9686853095736;226650
753237;none;none;0;0;2930.9768697093973;298546
1076805;none;none;0;0;2372.723898987068;426964
1388865;none;none;0;0;1507.3873698027355;526143
3206897;none;none;0;0;2337.1780766939505;1133937
3390179;none;none;0;0;1113.666690805527;1204708
4729120;none;none;0;0;3484.374456224763;1722031
4774032;none;none;0;0;4787.815832689945;1739721
5290507;none;none;0;0;3097.969800147351;1914366
191729;none;none;0;0;976.3619936538995;75791
195396;none;none;0;0;10098.560854959733;77255
236520;none;none;0;0;2399.013268694581;93654
285817;none;none;0;0;2936.7607238796286;113260
352629;none;none;0;0;4135.225344487556;139772
352894;none;none;0;0;4169.629508770354;139882
398856;none;none;0;0;7242.741940273897;158024
489116;none;none;0;0;2601.316592656596;193841
1914567;none;none;0;0;2980.129656292699;683480
2128626;none;none;0;0;2285.9265689928875;755110
2929046;none;none;0;0;3260.2187819431665;1026284
3112965;none;none;0;0;13196.135522876595;1097085
4172113;none;none;0;0;1192.82066897776;1508238
4328098;none;none;0;0;2734.344648171933;1569642
4590309;none;none;0;0;1462.1790483375876;1667732
3635;none;some;0;1;1152.2075622183875;1390
319378;none;all;0;1;1038.0301107960447;126616
360280;none;all;0;1;4812.770891943199;142753
573601;none;some;0;1;4162.362762100625;227352
831440;none;some;0;1;160.0222363681086;329660
3422218;none;all;0;1;1528.6818766255947;1217426
5180041;none;some;0;1;5903.402220326292;1874915
341870;none;some;0;1;6496.295884868244;135491
602521;none;some;0;1;8499.275799872834;238856
1997;none;none;0;0;2006.7085548459763;767
15100;none;none;0;0;3928.5342586629768;5939
136998;none;none;0;0;1906.5322736405863;54092
154020;none;none;0;0;2879.1781843588296;60887
183942;none;none;0;0;2933.4700085550176;72679
551210;none;none;0;0;5163.971438021618;218445
638653;none;none;0;0;6320.573871213532;253154
757738;none;none;0;0;755.8565737149247;300338
2069;none;none;0;0;2756.6335228494804;793
318581;none;none;0;0;1760.0243798022518;126317
476390;none;none;0;0;1664.839794112211;188774
551275;none;none;0;0;2022.21881314985;218469
735991;none;none;0;0;76.2108048829818;291708
795327;none;none;0;0;3374.8819127919137;315313
815339;none;none;0;0;3380.923069009028;323269
921323;none;none;0;0;1201.3909407176075;365328
1020908;none;none;0;0;1728.5304679905964;404782
2055910;none;none;0;0;1911.269282212241;732507
2204185;none;none;0;0;2613.480659075689;782629
5293384;none;none;0;0;11262.209219700662;1915090
2140;some;all;1;6;249.87650029207282;819
47506;some;all;1;6;19406.084934546077;18694
87294;some;all;1;6;10490.11483320305;34440
339131;some;all;1;6;19281.012512086323;134444
409745;some;all;2;6;13963.441854851768;162408
483687;some;all;1;6;5290.018759971281;191677
447002;all;all;1;6;3089.383936385073;177164
751739;some;all;1;6;3164.157646260475;297944
1033517;all;all;1;6;41.69822500923755;409783
466296;some;all;1;6;9836.923772118953;184784
906550;some;all;2;6;7899.555766142;359495
994876;some;all;2;6;17653.21632890895;394486
108481;all;all;1;2;144.3139860605211;42817
133830;some;some;1;2;5974.471193360833;52814
277132;some;some;1;2;8065.464162488204;109867
523258;all;all;1;2;2841.7027313104477;207414
105052;some;some;1;2;257.00250132313084;41483
157791;some;some;1;2;30.176093496791843;62379
351935;some;some;1;2;5585.990301170066;139489
728634;some;some;1;2;1880.3259029201568;288822
1091648;all;some;2;2;227.8230873917501;432911
455018;some;some;1;3;5553.4060242446885;180308
363512;all;all;1;3;1928.9430346693941;144032
372103;some;all;1;3;3904.758477826941;147439
850152;all;some;1;3;7075.989327401268;337109
34996;some;all;1;3;3320.481527958119;13788
295702;some;all;1;3;4116.420314554155;117179
113368;some;all;1;3;3381.528436440625;44738
175385;some;all;1;3;2608.2920629293344;69302
188915;some;all;1;3;8023.099000948905;74672
477655;some;some;1;3;968.2498181162961;189279
2257;none;some;0;1;3571.388697574512;865
204212;none;some;0;1;1421.157687378744;80836
420198;none;all;0;1;4767.60182791165;166523
657079;none;all;0;1;831.9216684358805;260401
3362922;none;some;0;1;1678.6035165067478;1193940
4041281;none;some;0;1;1711.666169867339;1456742
238103;none;some;0;2;4345.23537361907;94280
453998;none;some;0;2;162.46372590170472;179913
639851;none;some;0;2;5402.920937018409;253621
857584;none;some;0;2;2841.015865170141;340067
924514;none;some;0;2;6511.338387682543;366570
988063;none;all;0;2;4669.130817639659;391763
8711;none;some;0;2;8237.498365780328;3403
812312;none;some;0;2;10137.232669493718;322051
828299;none;some;0;2;4280.56290527239;328406
1079475;none;some;0;2;774.2132026890997;428004
5278806;none;all;0;2;6338.069930192225;1911229
207708;none;some;0;2;2871.152561550232;82240
543878;none;some;0;2;3750.637953714092;215588
647060;none;some;0;2;5851.739266294286;256457
730831;none;all;0;2;867.9574040255153;289691
746256;none;all;0;2;3351.822761605862;295774
755926;none;some;0;2;3666.8577004325616;299620
1020365;none;all;0;2;2900.3406722060613;404561
1588954;none;some;0;2;6487.461692822209;581520
5347113;none;all;0;2;937.8642612856322;1930015
2160357;none;all;0;2;2152.700749468966;766471
2404;all;none;1;0;2258.876134040464;917
2347903;all;none;2;0;2824.9534725198264;829198
2365247;some;none;1;0;3900.194412975511;835007
2435682;some;none;1;0;4087.427538086178;855840
2475224;some;none;1;0;4367.512178399446;866377
2543477;some;none;1;0;11169.593191904876;888833
2556068;all;none;1;0;4582.309514263813;892457
2596403;some;none;1;0;3613.7421979355454;907085
2687643;all;none;1;0;4931.678846978764;935948
2304905;all;none;2;0;2281.117381537678;815519
2436975;all;none;2;0;7678.082998326625;856255
2458;none;all;0;1;1231.0200476942998;938
644158;none;all;0;1;2242.1377337073027;255340
4349206;none;all;0;1;2885.796281434049;1578034
2543;none;all;0;1;5416.7563428486765;969
394657;none;some;0;1;5544.918094231107;156361
638843;none;all;0;1;229.0918698848011;253222
948087;none;all;0;1;2640.9208402318777;375945
1079334;none;some;0;1;4149.004965754966;427953
130913;none;some;0;1;2119.7378947032635;51666
1372471;none;some;0;1;3812.4781142126703;520006
3491231;none;some;0;1;5640.272948100354;1244308
3620652;none;some;0;1;5795.348671539881;1294676
3724955;none;all;0;1;2014.4668788565175;1335368
3876557;none;all;0;1;432.4282820278656;1393912
2547;none;none;0;0;4640.458771078095;970
18649;none;none;0;0;176.3734482250847;7348
203102;none;none;0;0;1353.3682612015707;80380
441236;none;none;0;0;484.6541238980815;174860
507272;none;none;0;0;15552.371973589961;201057
62442;none;none;0;0;5750.25300901139;24570
